date,timestamp,team1,team2,tier,best_of,actual,pred_elo_raw,pred_elo_series,pred_map_composite,pred_map_series,pred_round_series,pred_elo_team1,pred_elo_team2
2025-01-12,1736703300,BAZARAJECKSON (page does not exist),Newborn (kazakh team) (page does not exist),Q,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2025-01-12,1736705700,THE UNIT (page does not exist),WINNERS Esports (page does not exist),Q,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2025-01-12,1736707800,WINNERS Esports (page does not exist),Newborn (kazakh team) (page does not exist),Q,Bo3,1.0,0.5,0.5,0.5,0.5,0.49242754281076834,1510.4221890389852,1510.4221890389852
2025-01-18,1737210600,NKS8 (page does not exist),TaN' aTTi (page does not exist),C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2025-01-18,1737210600,PoFanu (page does not exist),Vertus (page does not exist),C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2025-01-18,1737219600,Vertus (page does not exist),NKS8 (page does not exist),C,Bo3,1.0,0.5001445676915801,0.5002168515313273,0.4999033013785374,0.49985495206961444,0.49147444653777445,1513.943011490499,1513.842555566556
2025-01-20,1737399900,TURAN (page does not exist),INVINCIBLES (page does not exist),Q,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2025-01-20,1737406500,Miracle Gaming (page does not exist),Storm Uzbekistan (page does not exist),Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2025-01-20,1737409500,TURAN (page does not exist),Miracle Gaming (page does not exist),Q,Bo1,0.0,0.4714194957068651,0.4714194957068651,0.49567358045540744,0.49567358045540744,0.44354974733696745,1489.7333518930836,1509.6147926926567
2025-01-22,1737571800,Storm Uzbekistan (page does not exist),TURAN (page does not exist),Q,Bo1,1.0,0.5157090889893854,0.5157090889893854,0.5025105266237453,0.5025105266237453,0.5431423593737046,1490.3852073073433,1479.4658204498123
2025-01-22,1737580500,ZWAW (page does not exist),LEGENDA (page does not exist),Q,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2025-01-22,1737583200,TURAN (page does not exist),LEGENDA (page does not exist),Q,Bo1,0.0,0.4428362840922073,0.4428362840922073,0.49129269358710437,0.49129269358710437,0.4211612085241279,1469.3838416131211,1509.2796929321498
2026-01-01,1767251400,SHPL,Shika,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-01,1767258000,SHPL,Last Bullet (Chinese team),C,Bo3,0.0,0.5195880012099711,0.5293669703827601,0.5029101092110991,0.5043651145267576,0.5757061109625483,1513.6181070310083,1500.0
2026-01-01,1767264000,Last Bullet (Chinese team),Shika,C,Bo3,1.0,0.538712329206859,0.5579524617770092,0.5080744200889137,0.5121105772893912,0.6289857893430493,1513.3359202044505,1486.3818929689917
2026-01-02,1767337200,Just Swing (Chinese team),TakeMeAway Gaming,C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-02,1767343800,Just Swing (Chinese team),Morningstar,C,Bo3,0.0,0.4805940452402093,0.47090568407924227,0.4946070911717144,0.4919109504465287,0.40140686894148464,1486.5085844384241,1500.0
2026-01-02,1767349800,TakeMeAway Gaming,Morningstar,C,Bo3,1.0,0.5007533387092945,0.5011300072088734,0.4999338892112361,0.499900833817432,0.507248092785353,1513.4914155615759,1512.967941814346
2026-01-03,1767417300,DEPO,OMEGA (Kazakh team),C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767417300,BetBoom Team,WINNERS Esports (page does not exist),C,Bo3,1.0,0.4688823165190255,0.453383737920738,0.49309272307541013,0.48963974371203456,0.3468342271038255,1500.0,1521.6507629644352
2026-01-03,1767423600,Last Bullet (Chinese team) (page does not exist),Morningstar (page does not exist),C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767428100,HOTU,Altay Esports (page does not exist),C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767429600,TakeMeAway Gaming (page does not exist),SHPL (page does not exist),C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767430800,NOVAQ,ALLINNERS,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767435600,Morningstar (page does not exist),SHPL (page does not exist),C,Bo3,1.0,0.5,0.5,0.49999974036229455,0.49999961054344183,0.49481446770486676,1512.8333101336455,1512.8333101336455
2026-01-03,1767436800,WINNERS Esports (page does not exist),DEPO,C,Bo3,0.0,0.508581105625327,0.5128703946921507,0.4993943007081209,0.4990914515066091,0.5426745302703961,1492.4719328836734,1486.5085844384241
2026-01-03,1767444000,BetBoom Team,OMEGA (Kazakh team),C,Bo3,1.0,0.4993457118319719,0.4990185683081502,0.50236385547492,0.5035457567948167,0.48390212437152685,1513.0367693165492,1513.4914155615759
2026-01-03,1767446100,Altay Esports (page does not exist),ALLINNERS,C,Bo3,0.0,0.4964279308127951,0.4946419873760999,0.49700297414035177,0.49550451505008325,0.4163138642982163,1486.5085844384241,1488.9907545670894
2026-01-03,1767452400,Team Voca,Outfit 49,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767452400,M80,Dark Knight Esports,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767453000,Marsborne,Reign Above,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767453000,NRG,Kraken Seas,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767454200,HOTU,NOVAQ,C,Bo3,1.0,0.5035720691872048,0.5053580126238999,0.5029970258596482,0.5044954849499168,0.5836861357017837,1513.4914155615759,1511.0092454329106
2026-01-03,1767455100,DRGN Team (page does not exist),ENJOY (Russian team) (page does not exist),Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767455100,OMEGA (Kazakh team),ALLINNERS,C,Bo3,0.0,0.49639581663959903,0.49459381859707485,0.49736661649908065,0.49604996127211576,0.46958974273406834,1500.4306063849149,1502.9350928759852
2026-01-03,1767456000,ELITenergy (page does not exist),Flame Sharks,Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767456000,Ursa (page does not exist),Valtrion (page does not exist),Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767456300,Natus Vincere Junior,XI Esport (page does not exist),Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767456600,Qual4 (page does not exist),Petardka (page does not exist),Q,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767456600,MUERTA TEAM (page does not exist),ChillHasNoVibe (page does not exist),Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767457200,WW Team (page does not exist),Against All authority,Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767459600,WeClear (page does not exist),FUT Academy (page does not exist),Q,Bo1,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767460200,WW Team (page does not exist),Natus Vincere Junior,Q,Bo1,1.0,0.5011619346528642,0.5011619346528642,0.5002157882316205,0.5002157882316205,0.5270352364425467,1510.4221890389852,1509.6147926926567
2026-01-03,1767460500,Dark Knight Esports,Outfit 49,C,Bo3,0.0,0.4998647659555219,0.4997971489382292,0.4997303750046516,0.49959556254617965,0.47068742790697327,1485.963018268358,1486.056988509501
2026-01-03,1767460500,Kraken Seas,Reign Above,C,Bo3,0.0,0.499599662851898,0.49939949440617093,0.5028762773788688,0.5043143684775813,0.5727357777841202,1485.4346157553618,1485.7127985577222
2026-01-03,1767460500,M80,Team Voca,C,Bo3,1.0,0.5001352340444781,0.5002028510617709,0.5002696249953484,0.5004044374538205,0.5293125720930267,1514.036981731642,1513.943011490499
2026-01-03,1767460500,NRG,Marsborne,C,Bo3,1.0,0.5004003371481021,0.5006005055938292,0.4971237226211312,0.49568563152241873,0.42726422221588,1514.5653842446382,1514.2872014422778
2026-01-03,1767461400,Petardka (page does not exist),DRGN Team (page does not exist),Q,Bo1,1.0,0.5,0.5,0.5,0.5,0.49321117049620883,1509.8747162602492,1509.8747162602492
2026-01-03,1767463200,FUT Academy (page does not exist),Ursa (page does not exist),Q,Bo1,0.0,0.4994359649719996,0.4994359649719996,0.49989525179862737,0.49989525179862737,0.4813653890271077,1509.8747162602492,1510.2666481069164
2026-01-03,1767463800,ELITenergy (page does not exist),MUERTA TEAM (page does not exist),Q,Bo1,1.0,0.500938094249063,0.500938094249063,0.5001742208253487,0.5001742208253487,0.5265692038398837,1510.2666481069164,1509.6147926926567
2026-01-03,1767467400,NOVAQ,DEPO,C,Bo3,0.0,0.49542062893701955,0.49313113547020715,0.49944498493986517,0.4991674777517333,0.45398005149443144,1497.0608999095741,1500.243061820708
2026-01-03,1767472200,GamerLegion,Beyond Limits,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767472200,HereWeGoAgain (page does not exist),GUERRA (page does not exist),Q,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767472200,Team Voca,Outfit 49,C,Bo3,1.0,0.5007906159936776,0.5011859230021299,0.5016129148055992,0.5024193638164219,0.4200815243744557,1500.0991658260739,1499.549789106832
2026-01-03,1767473700,Wildcard,Sharks Esports,C,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767474000,Marsborne,Reign Above,C,Bo3,1.0,0.5049047791986229,0.5073569328107712,0.5113416170042384,0.5170095077103339,0.6883484212660607,1501.948910834734,1498.5406118425058
2026-01-03,1767474300,Fatal Model (page does not exist),Lospegadinhas (page does not exist),Q,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767474900,BESTIA Academy (page does not exist),Oruga (page does not exist),Q,Bo3,0.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767475200,Charrados FC (page does not exist),INTERDIT (page does not exist),Q,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767475800,9INE,Memeories,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767481200,Team Venom,F5 Esports,C,Bo3,1.0,0.5,0.5,0.5,0.5,0.5,1500.0,1500.0
2026-01-03,1767482100,Beyond Limits,Wildcard,C,Bo3,0.0,0.4986673519924635,0.4980010327221296,0.49686585006408823,0.495298836668989,0.3866919015747632,1485.8747467952767,1486.8007676696254
2026-01-03,1767482400,GamerLegion,Sharks Esports,C,Bo3,1.0,0.5013326480075366,0.5019989672778706,0.5031341499359118,0.504701163331011,0.6133080984252366,1514.1252532047233,1513.1992323303746
2026-01-04,1767487200,Memeories,F5 Esports,C,Bo3,0.0,0.5006818898293363,0.5010228341098826,0.5002885555742733,0.5004328333133572,0.5394509530101332,1486.2653481147054,1485.791522236715
2026-01-04,1767487500,9INE,Team Venom,C,Bo3,1.0,0.49931811017066374,0.4989771658901173,0.4997114444257266,0.49956716668664264,0.4605490469898667,1513.7346518852946,1514.208477763285
2026-01-04,1767492000,Sharks Esports,Wildcard,C,Bo3,0.0,0.49901910562748464,0.4985286603287694,0.4944402654912537,0.49166074194687115,0.35956331582511153,1500.0300132737812,1500.7116093694838
